case_id,ratio_id,ratio_label,curve_id,curve_label,solver_model,transverse_equation,p,n1_over_n5,index_ratio_squared,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,48,0.95999999999999996,0.47999999999999998,0.92924316284511965,0.36946873251413087,0.36551156432288806,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,49,0.97999999999999998,0.48999999999999999,0.92924316284511965,0.36946873251413087,0.36129352473538651,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,50,1,0.5,0.92924316284511965,0.36946873251413087,0.35712416174172873,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,51,1.02,0.51000000000000001,0.92924316284511965,0.36946873251413087,0.35300291360920943,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,52,1.04,0.52000000000000002,0.92924316284511965,0.36946873251413087,0.34892922508757429,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,53,1.0600000000000001,0.53000000000000003,0.92924316284511965,0.36946873251413087,0.344902547334212,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,54,1.0800000000000001,0.54000000000000004,0.92924316284511965,0.36946873251413087,0.34092233784020903,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,55,1.1000000000000001,0.55000000000000004,0.92924316284511965,0.36946873251413087,0.33698806035725842,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,56,1.1200000000000001,0.56000000000000005,0.92924316284511965,0.36946873251413087,0.33309918482541179,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,57,1.1400000000000001,0.57000000000000006,0.92924316284511965,0.36946873251413087,0.32925518730166481,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,58,1.1599999999999999,0.57999999999999996,0.92924316284511965,0.36946873251413087,0.32545554988936726,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,59,1.1799999999999999,0.58999999999999997,0.92924316284511965,0.36946873251413087,0.32169976066844741,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,60,1.2,0.59999999999999998,0.92924316284511965,0.36946873251413087,0.31798731362644206,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,61,1.22,0.60999999999999999,0.92924316284511965,0.36946873251413087,0.31431770859032138,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,62,1.24,0.62,0.92924316284511965,0.36946873251413087,0.31069045115910215,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,63,1.26,0.63,0.92924316284511965,0.36946873251413087,0.30710505263723731,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,64,1.28,0.64000000000000001,0.92924316284511965,0.36946873251413087,0.30356102996877449,1,ok
