case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,84,2.8149999999999999,3.0774039780149829e-06,1.5387019890074915e-06,1,1,830354.68981188687,844184.72128751362,9350096.4088749588,0.83021361891801171
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,85,2.8479166666666669,3.1133890156501492e-06,1.5566945078250746e-06,1,1,822573.45594200701,836155.95627296553,9351505.5331306495,0.83340472011939382
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,86,2.8808333333333334,3.1493740532853155e-06,1.5746870266426578e-06,1,1,814935.50631051394,828276.85392957088,9352875.3431018852,0.83650725118358571
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,87,2.9137500000000003,3.1853590909204822e-06,1.5926795454602411e-06,1,1,807436.96495857823,820543.33053002693,9354207.2780190967,0.83952443345043093
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,88,2.9466666666666668,3.2213441285556481e-06,1.610672064277824e-06,1,1,800074.09229313559,812951.44655596849,9355502.7124248184,0.84245934462014094
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,89,2.9795833333333337,3.2573291661908148e-06,1.6286645830954074e-06,1,1,792843.27926731552,805497.40056443587,9356762.9595928565,0.84531492627304483
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,90,3.0125000000000002,3.293314203825981e-06,1.6466571019129905e-06,1,1,785741.04184934613,798177.52335163951,9357989.2747413442,0.84809399094125804
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,91,3.0454166666666667,3.3292992414611469e-06,1.6646496207305735e-06,1,1,778764.0157639368,790988.27240422729,9359182.8580530714,0.85079922876090164
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,92,3.0783333333333336,3.3652842790963136e-06,1.6826421395481568e-06,1,1,771908.95148423524,783926.22661321971,9360344.8575173095,0.85343321373557934
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,93,3.1112500000000001,3.4012693167314799e-06,1.7006346583657399e-06,1,1,765172.70947306347,776988.08124146541,9361476.3716035001,0.85599840963320506
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,94,3.144166666666667,3.4372543543666466e-06,1.7186271771833233e-06,1,1,758552.25564925221,770170.64313612971,9362578.4517783877,0.85849717554116656
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,95,3.1770833333333335,3.4732393920018124e-06,1.7366196960009062e-06,1,1,752044.6570718853,763470.82615876081,9363652.10487758,0.8609317711036033
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,96,3.21,3.5092244296369787e-06,1.7546122148184894e-06,1,1,745647.07783069578,756885.64684144116,9364698.2953393757,0.86330436145747291
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,97,3.2429166666666669,3.5452094672721454e-06,1.7726047336360727e-06,1,1,739356.77513019508,750412.22023765079,9365717.9473114256,0.86561702189047196
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,98,3.2758333333333334,3.5811945049073113e-06,1.7905972524536556e-06,1,1,733171.09555773833,744047.7559743789,9366711.9466370065,0.86787174223528196
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,99,3.3087500000000003,3.617179542542478e-06,1.808589771271239e-06,1,1,727087.47152637574,737789.55448262033,9367681.1427295059,0.87007043101887094
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,100,3.3416666666666668,3.6531645801776443e-06,1.8265822900888221e-06,1,1,721103.41788334073,731635.00340232661,9368626.3503417466,0.8722149193811578
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,101,3.3745833333333337,3.6891496178128106e-06,1.8445748089064053e-06,1,1,715216.52867339947,725581.57415398094,9369548.3512368333,0.87430696477754488
