case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,mode_id,mode_family,p,q,cutoff_found,guided_at_search_min,guided_at_search_max,guided_in_search_window,cutoff_status,cutoff_b_normalized,cutoff_a_normalized,cutoff_b_over_A4
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_4_1,E_y,4,1,1,0,1,1,found,12.421486097127197,12.421486097127197,3.4872269167772307
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_4_1,E_x,4,1,1,0,1,1,found,12.460911153405906,12.460911153405906,3.4982951670957148
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_4_2,E_y,4,2,1,0,1,1,found,13.671057616919281,13.671057616919281,3.8380335275309143
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_4_2,E_x,4,2,1,0,1,1,found,13.697866148650647,13.697866148650647,3.84555979554119
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_4_3,E_y,4,3,1,0,1,1,found,15.558464213311673,15.558464213311673,4.3679069286986438
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_4_3,E_x,4,3,1,0,1,1,found,15.570974960774187,15.570974960774187,4.3714192149870268
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_4_4,E_y,4,4,1,0,1,1,found,17.90443011552096,17.90443011552096,5.0265169674699193
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_4_4,E_x,4,4,1,0,1,1,found,17.90443011552096,17.90443011552096,5.0265169674699193
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_1_2,E_y,1,2,1,0,1,1,found,2.4630547718703744,2.4630547718703744,1.5020234007512216
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_1_2,E_x,1,2,1,0,1,1,found,2.4509224382042882,2.4509224382042882,1.4946248445841799
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_1_3,E_y,1,3,1,0,1,1,found,3.8847688134014611,3.8847688134014611,2.3690149853251556
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_1_3,E_x,1,3,1,0,1,1,found,3.8690110073983668,3.8690110073983668,2.3594055387016155
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_1_4,E_y,1,4,1,0,1,1,found,5.3914211091399178,5.3914211091399178,3.2878037312515143
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_1_4,E_x,1,4,1,0,1,1,found,5.3757854682207107,5.3757854682207107,3.2782687835050783
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_2_1,E_y,2,1,1,0,1,1,found,2.4509224382042882,2.4509224382042882,1.4946248445841799
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_2_1,E_x,2,1,1,0,1,1,found,2.4630547718703744,2.4630547718703744,1.5020234007512216
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_2_2,E_y,2,2,1,0,1,1,found,3.5146652223169799,3.5146652223169799,2.1433179115695395
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_2_2,E_x,2,2,1,0,1,1,found,3.5146652223169799,3.5146652223169799,2.1433179115695395
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_2_3,E_y,2,3,1,0,1,1,found,4.7598030434548839,4.7598030434548839,2.9026295459954858
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_2_3,E_x,2,3,1,0,1,1,found,4.7493534593284128,4.7493534593284128,2.8962571664344097
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_2_4,E_y,2,4,1,0,1,1,found,6.125483536571263,6.125483536571263,3.7354506760966979
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_2_4,E_x,2,4,1,0,1,1,found,6.1096512396633624,6.1096512396633624,3.7257958033285825
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_3_1,E_y,3,1,1,0,1,1,found,3.8690110073983668,3.8690110073983668,2.3594055387016155
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_3_1,E_x,3,1,1,0,1,1,found,3.8847688134014611,3.8847688134014611,2.3690149853251556
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_y_3_2,E_y,3,2,1,0,1,1,found,4.7493534593284128,4.7493534593284128,2.8962571664344097
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,E_x_3_2,E_x,3,2,1,0,1,1,found,4.7598030434548839,4.7598030434548839,2.9026295459954858
