case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,20,0.40000000000000002,0.20000000000000001,0.80616259520668487,0.59169406798583235,0.53029046616861175,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,21,0.41999999999999998,0.20999999999999999,0.80616259520668487,0.59169406798583235,0.52052415195296398,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,22,0.44,0.22,0.80616259520668487,0.59169406798583235,0.51093770311194364,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,23,0.46000000000000002,0.23000000000000001,0.80616259520668487,0.59169406798583235,0.50152780708031108,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,24,0.47999999999999998,0.23999999999999999,0.80616259520668487,0.59169406798583235,0.49229121230005773,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,25,0.5,0.25,0.80616259520668487,0.59169406798583235,0.48322472709684117,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,26,0.52000000000000002,0.26000000000000001,0.80616259520668487,0.59169406798583235,0.47432521857711257,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,27,0.54000000000000004,0.27000000000000002,0.80616259520668487,0.59169406798583235,0.46558961154555606,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,28,0.56000000000000005,0.28000000000000003,0.80616259520668487,0.59169406798583235,0.45701488744246516,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,29,0.57999999999999996,0.28999999999999998,0.80616259520668487,0.59169406798583235,0.44859808330068973,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,30,0.59999999999999998,0.29999999999999999,0.80616259520668487,0.59169406798583235,0.44033629072179237,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,31,0.62,0.31,0.80616259520668487,0.59169406798583235,0.43222665487106127,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,32,0.64000000000000001,0.32000000000000001,0.80616259520668487,0.59169406798583235,0.42426637349103186,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,33,0.66000000000000003,0.33000000000000002,0.80616259520668487,0.59169406798583235,0.41645269593317563,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,34,0.68000000000000005,0.34000000000000002,0.80616259520668487,0.59169406798583235,0.40878292220742324,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,35,0.70000000000000007,0.35000000000000003,0.80616259520668487,0.59169406798583235,0.40125440204919166,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,36,0.71999999999999997,0.35999999999999999,0.80616259520668487,0.59169406798583235,0.39386453400359439,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,37,0.73999999999999999,0.37,0.80616259520668487,0.59169406798583235,0.38661076452651744,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,38,0.76000000000000001,0.38,0.80616259520668487,0.59169406798583235,0.37949058710225048,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,39,0.78000000000000003,0.39000000000000001,0.80616259520668487,0.59169406798583235,0.37250154137736879,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,40,0.80000000000000004,0.40000000000000002,0.80616259520668487,0.59169406798583235,0.36564121231056684,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,41,0.82000000000000006,0.41000000000000003,0.80616259520668487,0.59169406798583235,0.35890722933814811,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,42,0.83999999999999997,0.41999999999999998,0.80616259520668487,0.59169406798583235,0.35229726555488566,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,43,0.85999999999999999,0.42999999999999999,0.80616259520668487,0.59169406798583235,0.34580903690996689,1,ok
